name,camera,ram,price,image
موبايل شاومي ريدمي نوت 9 برو بشريحتين اتصال - شاشة 6.67 بوصة، 64 جيجابايت، 6 جيجابايت رام، شبكة الجيل الرابع ال تي اي - اخضر تروبيكال,64 ميجابكسل,6 جيجابايت,"3,860.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-برو-بشريحتين-اتصال-شاشة-6-67-بوصة-64-جيجابايت-6-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-اخضر-تروبيكال-130957478/i/
موبايل شاومي ريدمي نوت 9 برو بشريحتين اتصال - شاشة 6.67 بوصة، 64 جيجابايت، 6 جيجابايت رام، شبكة الجيل الرابع ال تي اي - رمادي انترستيلر,64 ميجابكسل,6 جيجابايت,"3,749.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-برو-بشريحتين-اتصال-شاشة-6-67-بوصة-64-جيجابايت-6-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-رمادي-انترستيلر-130957469/i/
موبايل شاومي ريدمي 9 بشريحتين اتصال - 6.53 بوصة، 64 جيجابايت، 4 جيجابايت رام، شبكة الجيل الرابع ال تي اي - رمادي كربون,13 ميجابكسل,4 جيجابايت,"2,888.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-9-بشريحتين-اتصال-6-53-بوصة-64-جيجابايت-4-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-رمادي-كربون-131530414/i/
موبايل شاومي ريدمي نوت 9S بشريحتين اتصال - 6.67 بوصة، 64 جيجابايت، 4 جيجابايت رام، شبكة الجيل الرابع ال تي اي - رمادي انترستيلر,48 ميجا بيكسل + 8 ميجا بيكسل + 5 ميجا بيكسل + 2 ميجا بيكسل,4 جيجابايت,"3,390.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9s-بشريحتين-اتصال-6-67-بوصة-64-جيجابايت-4-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-رمادي-انترستيلر-122957369/i/
موبايل شاومي ريدمي نوت 9S بشريحتين اتصال - 6.67 بوصة، 64 جيجابايت، 4 جيجابايت رام، شبكة الجيل الرابع ال تي اي - ازرق اورورا,48 ميجا بيكسل + 8 ميجا بيكسل + 5 ميجا بيكسل + 2 ميجا بيكسل,4 جيجابايت,"3,459.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9s-بشريحتين-اتصال-6-67-بوصة-64-جيجابايت-4-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-ازرق-اورورا-122957354/i/
موبايل شاومي ريدمي 9 بشريحتين اتصال - 6.53 بوصة، 64 جيجابايت، 4 جيجابايت رام، شبكة الجيل الرابع ال تي اي - ارجواني صن ست,13 ميجابكسل,4 جيجابايت,"2,888.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-9-بشريحتين-اتصال-6-53-بوصة-64-جيجابايت-4-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-ارجواني-صن-ست-131530403/i/
موبايل شاومي ريدمي 9 بشريحتين اتصال - 6.53 بوصة، 64 جيجابايت، 4 جيجابايت رام، شبكة الجيل الرابع ال تي اي - اخضر اوشن,13 ميجابكسل,4 جيجابايت,"2,888.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-9-بشريحتين-اتصال-6-53-بوصة-64-جيجابايت-4-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-اخضر-اوشن-131530389/i/
موبايل شاومي ريدمي نوت 9S بشريحتين اتصال - شاشة 6.67 بوصة، 128 جيجابايت، 6 جيجابايت رام، شبكة الجيل الرابع ال تي اي - رمادي انترستيلر,48 ميجا بيكسل + 8 ميجا بيكسل + 5 ميجا بيكسل + 2 ميجا بيكسل,6 جيجابايت,"3,799.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9s-بشريحتين-اتصال-شاشة-6-67-بوصة-128-جيجابايت-6-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-رمادي-انترستيلر-122963509/i/
موبايل شاومي ريدمي 9C بشريحتين اتصال - 6.53 بوصة، 32 جيجابايت، 2 جيجابايت رام، شبكة الجيل الرابع ال تي اي - برتقالي,13 ميجابكسل,2 جيجابايت,"1,999.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-9c-بشريحتين-اتصال-6-53-بوصة-32-جيجابايت-2-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-برتقالي-131799459/i/
موبايل شاومي ريدمي نوت 9 برو بشريحتين اتصال - شاشة 6.67 بوصة، 128 جيجابايت، 6 جيجابايت رام، شبكة الجيل الرابع ال تي اي - رمادي انترستيلر,64 ميجابكسل,6 جيجابايت,"4,442.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-برو-بشريحتين-اتصال-شاشة-6-67-بوصة-128-جيجابايت-6-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-رمادي-انترستيلر-131090382/i/
